confid,dist_name,params
9_hour_1,lognorm,"[0.5944564885629632, -0.041494940505636915, 0.22788220018009533]"
9_hour_2,lognorm,"[0.5875601876174503, -0.0457494449220992, 0.2326377537550196]"
9_hour_3,lognorm,"[0.5701592343513707, -0.050613660486116596, 0.24027476931461367]"
9_hour_4,lognorm,"[0.5930087233977497, -0.04262142327739542, 0.23106066236500256]"
9_hour_5,lognorm,"[0.6309517789197481, -0.04341989024720569, 0.2623052367620341]"
9_hour_6,lognorm,"[0.8440277053847658, 0.006003092531835612, 0.28111483660941494]"
9_hour_7,powerlognorm,"[78.12699969871025, 2.3460718841250072, 0.021463945240629653, 87.90269847213335]"
9_hour_8,powerlognorm,"[59.34809487965042, 2.1044973682467685, -0.0039964753182627245, 45.78366255083047]"
9_hour_9,lognorm,"[0.929578660970739, -0.023762711873630396, 0.3785727755037701]"
9_hour_10,powerlognorm,"[23.033446441501567, 2.136392642834641, 0.028960618121156172, 18.859267441657202]"
9_hour_11,powerlognorm,"[2.0769605762520382, 1.1656334190945667, -0.0019497875466902336, 0.652041179752509]"
9_hour_12,lognorm,"[0.9120057043380109, -0.012139266851250965, 0.3444844288011528]"
9_hour_13,lognorm,"[0.9788119675630488, -0.0015987955510180034, 0.31793021223425005]"
9_hour_14,powerlognorm,"[1.762727183446146, 1.1344653705257937, -0.000830886491145034, 0.5298368576123638]"
9_hour_15,powerlognorm,"[9.984234862549993, 1.794581732243513, 0.010070361791015704, 5.045037284212029]"
9_hour_16,powerlognorm,"[72.43073901661862, 2.7529156308343294, 0.03249499063152647, 230.2085056488657]"
9_hour_17,lognorm,"[1.0480426906175824, 0.01207046506159776, 0.43303440014198735]"
9_hour_18,powerlognorm,"[59.6301880131093, 2.552797624407483, 0.030739261670293144, 173.38102558766747]"
9_hour_19,lognorm,"[0.9719727162121554, 0.0041428382828479285, 0.530215439917322]"
9_hour_20,lognorm,"[0.7951224224984386, -0.023634839498185803, 0.5585687154382701]"
9_hour_21,lognorm,"[0.7171203072980015, -0.04917841802605, 0.5493241258485257]"
9_hour_22,lognorm,"[0.8688535744038258, 0.004952734559779072, 0.36090941573539004]"
9_hour_23,lognorm,"[0.8467713980588121, -0.017684624800034167, 0.2762556662474008]"
10_hour_0,lognorm,"[0.6559085646106171, -0.041886491568511805, 0.25160613974003176]"
10_hour_1,lognorm,"[0.580664917759854, -0.047868916501782974, 0.23868645968067476]"
10_hour_2,lognorm,"[0.5496222672277362, -0.05672955532013438, 0.25002212871194907]"
10_hour_3,lognorm,"[0.5842300514083858, -0.04282045594746886, 0.23424843803120604]"
10_hour_4,lognorm,"[0.5824134204857057, -0.049876101714599774, 0.23844507439683704]"
10_hour_5,lognorm,"[0.6139429867021025, -0.04727772005086073, 0.26332319787192227]"
10_hour_6,powerlognorm,"[0.08769756724741577, 0.26514767924530236, -0.05964491898874859, 0.13918750913401778]"
10_hour_7,powerlognorm,"[5.652952110847377, 1.4974316584544538, 0.015548244304785477, 2.0127223759868498]"
10_hour_8,powerlognorm,"[86.73373401056736, 2.300118252249387, -0.0011669261353677188, 97.44622110049798]"
10_hour_9,lognorm,"[0.9678994679473627, -0.006790790566739407, 0.3489246846521593]"
10_hour_10,lognorm,"[0.9394634035526398, -0.01757769649620583, 0.37569390800126157]"
10_hour_11,lognorm,"[0.9979631184481305, -0.002932821436059282, 0.35020098515784237]"
10_hour_12,lognorm,"[1.0269793729547834, 0.0032767082956438416, 0.3309540419289182]"
10_hour_13,lognorm,"[1.0182613335125186, 0.0067104440850235085, 0.3101675891777657]"
10_hour_14,powerlognorm,"[10.18576853424214, 1.9032672647956925, 0.017502426587308675, 5.287901022877171]"
10_hour_15,powerlognorm,"[6.647493887666193, 1.7017903230634845, 0.018400921342472013, 2.83205890260416]"
10_hour_16,powerlognorm,"[6.7459437838101435, 1.7321443692694865, 0.01783689985855389, 3.4054347901721185]"
10_hour_17,lognorm,"[0.9683274590933606, -0.012067954168834567, 0.5130164645665815]"
10_hour_18,gamma,"[1.0101125252701522, 0.042984837101832714, 0.8718028770317756]"
10_hour_19,powerlognorm,"[93.28697340634955, 2.63753577699232, 0.03423281526700646, 352.31186032729613]"
10_hour_20,lognorm,"[0.8942357451362684, -0.00367636483289792, 0.5641628810530201]"
10_hour_21,lognorm,"[0.8110236817341132, -0.022260580584803402, 0.5470232858151758]"
10_hour_22,lognorm,"[0.8925415438956872, 0.004438191329415751, 0.38383221612162444]"
10_hour_23,lognorm,"[0.8631512354338908, -0.01817996982084976, 0.28873412517392283]"
11_hour_0,lognorm,"[0.8941821857322376, -0.01386143968171397, 0.27699889964299246]"
11_hour_1,lognorm,"[0.6993202000393204, -0.04294566246125492, 0.26458846345654063]"
11_hour_2,lognorm,"[0.6721507172467791, -0.0374127030729868, 0.23782213581987494]"
11_hour_3,powerlognorm,"[0.23812935263200202, 0.38536549066823556, -0.0556510525863026, 0.13813871688424662]"
11_hour_4,powerlognorm,"[0.279364509890411, 0.4049918035349471, -0.057838171367762495, 0.1459425873714894]"
11_hour_5,lognorm,"[0.6931749155086742, -0.04007813591912502, 0.24869310381760118]"
11_hour_6,lognorm,"[0.7175349951585839, -0.04656133826321322, 0.3032575775579763]"
